"class","term","week","subject","topic","agegroup","context","generated"
"Jss 3","Summer Term","1","Physical and Health Education","Sports and Health Promotion Agencies","12-13","Understanding roles of NAPHER.SD, Nigeria Institute of Sports, sports associations, Ministry of Health, NAFDAC, WHO","false"
"Jss 3","Summer Term","2","Physical and Health Education","Aging, Death and Life Enhancement","12-13","Understanding aging process, death, life-enhancing measures (exercise, nutrition, rest), supporting dying and grieving persons","false"
"Jss 3","Summer Term","3","Physical and Health Education","Drug Use, Misuse and Abuse","12-13","Differentiating between drug use, misuse, and abuse; understanding categories: prescription, non-prescription, gateway drugs","false"
"Jss 3","Summer Term","4","Physical and Health Education","Health Consequences and Prevention of Drug Abuse","12-13","Learning health consequences of drug abuse and ways to prevent drug misuse and abuse among young people","false"
"Jss 3","Summer Term","5","Physical and Health Education","Communicable Diseases: Nature and Transmission","12-13","Understanding nature of communicable diseases (measles, mumps, malaria, pneumonia), modes of transmission, causative agents","false"
"Jss 3","Summer Term","6","Physical and Health Education","Prevention of Communicable Diseases","12-13","Learning preventive measures for communicable diseases: sanitation, immunization, education, hygiene practices","false"
"Jss 3","Summer Term","7","Physical and Health Education","Non-Communicable Diseases","12-13","Understanding nature of non-communicable diseases (sickle cell, obesity, kwashiorkor), prevention and management","false"
"Jss 3","Summer Term","8","Physical and Health Education","Disease Vectors and Control Measures","12-13","Identifying disease vectors (mosquitoes, houseflies), drawing life cycles, understanding control: drainage, insecticides, oil spraying","false"
"Jss 3","Summer Term","9","Physical and Health Education","STIs, HIV/AIDS: Transmission and Prevention","12-13","Understanding sexually transmitted infections, HIV/AIDS, causes, modes of transmission, consequences, and prevention methods","false"
"Jss 3","Summer Term","10","Physical and Health Education","Disease Prevention and Family Health","12-13","Integrating disease prevention strategies: sanitation, education, immunization, choice of life partner for family health","false"
"Jss 3","Noel Term","1","Social Studies","Contents of Social Studies","12-13","Understanding the meaning and components of social studies: facts, concepts, generalizations, skills, values, and attitudes","false"
"Jss 3","Noel Term","2","Social Studies","Cognitive, Affective and Psychomotor Contents","12-13","Exploring the three domains of learning in social studies: thinking skills, emotional development, and physical skills","false"
"Jss 3","Noel Term","3","Social Studies","Extended Family Members","12-13","Identifying members of extended family including grandparents, uncles, aunties, cousins, nephews, and nieces","false"
"Jss 3","Noel Term","4","Social Studies","Roles of Extended Family in Child Development","12-13","Understanding how extended family acts as agents of socialization and supports nuclear family members","false"
"Jss 3","Noel Term","5","Social Studies","Human Trafficking: Meaning and Factors","12-13","Understanding recruitment, transportation, and transfer of persons across borders for exploitation; examining causes like poverty and false promises","false"
"Jss 3","Noel Term","6","Social Studies","Consequences of Human Trafficking","12-13","Analyzing the social impact including loss of human resources, life of crime, sexual violence, and weakened family ties","false"
"Jss 3","Noel Term","7","Social Studies","Preventing Human Trafficking","12-13","Exploring preventive measures through awareness raising, education, advocacy, and legislation","false"
"Jss 3","Noel Term","8","Social Studies","Harmful Traditional Practices","12-13","Understanding practices that bring physical, mental, and social dangers like child labor, female circumcision, and early marriage","false"
"Jss 3","Noel Term","9","Social Studies","Consequences of Harmful Traditional Practices","12-13","Examining problems at childbirth, exploitation of children, deprivation of schooling, and VVF (Vesicovaginal Fistula)","false"
"Jss 3","Noel Term","10","Social Studies","Preventing Harmful Traditional Practices","12-13","Learning about public enlightenment and measures to eradicate harmful practices in Nigerian communities","false"
"Jss 3","Calvary Term","1","Social Studies","Peace: Meaning and Types","12-13","Understanding peace as cordial living among people; differentiating between positive peace and negative/uneasy peace","false"
"Jss 3","Calvary Term","2","Social Studies","Importance of Peace","12-13","Exploring benefits of peace including lack of violent conflict, progress and development, happiness, and reduced stress","false"
"Jss 3","Calvary Term","3","Social Studies","Promoting Peaceful Living in Society","12-13","Learning ways to promote peace through tolerance, social justice, respect for human rights, and conflict prevention","false"
"Jss 3","Calvary Term","4","Social Studies","Social Conflicts: Meaning and Types","12-13","Understanding conflict as interpersonal misunderstanding; distinguishing between non-violent and violent conflicts","false"
"Jss 3","Calvary Term","5","Social Studies","Examples and Causes of Conflicts","12-13","Examining inter-ethnic conflicts (Urhobo/Itsekiri, Kataf/Hausa) and communal conflicts (Ife/Modakeke, Aguleri/Umuleri)","false"
"Jss 3","Calvary Term","6","Social Studies","Consequences of Conflicts","12-13","Understanding the destructive effects of violent conflicts on individuals, communities, and national development","false"
"Jss 3","Calvary Term","7","Social Studies","Conflict Management and Resolution","12-13","Learning non-violent methods like dialogue, compromise, arbitration, mediation, and court rulings","false"
"Jss 3","Calvary Term","8","Social Studies","Attributes for Conflict Resolution","12-13","Developing mutual understanding, respect for rule of law, tolerance, self-control, and respect for opposing views","false"
"Jss 3","Calvary Term","9","Social Studies","Cultism: Meaning and Causes","12-13","Understanding cultism and its causes including peer pressure, poor leadership, drug abuse, and exposure to foreign values","false"
"Jss 3","Calvary Term","10","Social Studies","Consequences and Solutions to Cultism","12-13","Examining violence, moral decadence, criminal tendencies; proposing solutions to prevent cultism in Nigeria","false"
"Jss 3","Summer Term","1","Social Studies","Drug Trafficking: Meaning and Reasons","12-13","Understanding illegal drug trade and reasons including poverty, ignorance, and greed that drive people to trafficking","false"
"Jss 3","Summer Term","2","Social Studies","Consequences of Drug Trafficking","12-13","Examining bad image for country, imprisonment, death penalty, and forfeiture of assets as consequences","false"
"Jss 3","Summer Term","3","Social Studies","Preventing Drug Trafficking","12-13","Learning prevention through education, poverty alleviation, legislation, and international cooperation; role of NDLEA","false"
